lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth
hr	mt	OnlineB_review_home+kitchen_185_1.conllu	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	0	0	0.818	0.691	0.2	0.469	55
hr	mt	OnlineB_review_home+kitchen_19_5.conllu	1	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0.847	0.78	0.254	0.528	59
hr	mt	OnlineB_review_home+kitchen_20_5.conllu	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0.816	0.735	0.224	0.607	49
hr	mt	OnlineB_review_home+kitchen_214_2.conllu	3	1	1	0	2	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0.798	0.737	0.124	0.39	97
hr	mt	OnlineB_review_home+kitchen_21_5.conllu	2	3	0	1	0	2	0	0	2	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0.831	0.714	0.156	0.511	78
hr	mt	OnlineB_review_home+kitchen_24_5.conllu	3	1	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0.581	0.541	0.203	0.356	64
hr	mt	OnlineB_review_home+kitchen_29_2.conllu	1	2	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812	0.681	0.174	0.494	69
hr	mt	OnlineB_review_home+kitchen_41_2.conllu	3	1	2	1	0	0	0	0	1	0	1	1	0	2	0	0	1	0	1	0	1	0	0	0	0	0.702	0.595	0.143	0.398	84
hr	mt	OnlineB_review_home+kitchen_6_5.conllu	2	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0.846	0.677	0.185	0.6	65
hr	mt	OnlineB_review_home+kitchen_96_2.conllu	1	2	0	1	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0.742	0.602	0.141	0.414	93
hr	mt	OnlineB_review_movies+TV_11_5.conllu	2	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	1	0.868	0.776	0.173	0.535	75
hr	mt	OnlineB_review_movies+TV_187_1.conllu	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0.825	0.651	0.194	0.541	62
hr	mt	OnlineB_review_movies+TV_1_4.conllu	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0.821	0.732	0.214	0.457	56
hr	mt	OnlineB_review_movies+TV_20_5.conllu	1	0	0	2	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0.825	0.807	0.211	0.615	57
hr	mt	OnlineB_review_movies+TV_22_5.conllu	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.784	0.686	0.235	0.462	51
hr	mt	OnlineB_review_movies+TV_249_1.conllu	2	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	1	0	0	0	0.825	0.789	0.214	0.507	57
hr	mt	OnlineB_review_movies+TV_24_5.conllu	4	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0.833	0.731	0.192	0.459	78
hr	mt	OnlineB_review_movies+TV_252_1.conllu	2	1	0	2	0	2	0	0	2	1	0	1	1	0	0	0	1	0	1	1	0	3	0	0	1	0.75	0.654	0.135	0.419	104
hr	mt	OnlineB_review_movies+TV_25_5.conllu	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0.841	0.828	0.23	0.556	61
